Track ID,Track Name,Artist(s),Album,Release Date,Cover Image,Popularity,Genre
3dGnykeZl6O95Tjoe2h9pt,Panjaa,['Yuvan Shankar Raja'],Panjaa,19-11-2011,https://i.scdn.co/image/ab67616d0000b273cea64c408a084f910414cda4,52,kollywood
4P50tz9mZwqquSLMV9uwED,"Aasai Athigam (From ""Marupadiyum"")",['S. Janaki'],Solo Songs of S. Janaki Vol -1,22-11-2016,https://i.scdn.co/image/ab67616d0000b273c98935a046aa3c24d210b19c,52,kollywood
78tblPcz2otRZd1VOeU7zz,"Kanja Poovu Kannala (From ""Viruman"")","['Yuvan Shankar Raja', 'Sid Sriram']","Kanja Poovu Kannala (From ""Viruman"")",25-05-2022,https://i.scdn.co/image/ab67616d0000b273ab415bb3b896e5b14f5e2fd0,53,kollywood
3p4vXmvE970zZSZUF0GUnT,Dailamo Dailamo,"['Vijay Antony', 'Sangeetha Rajeshwaran']",Dishyum (Original Background Score),25-01-2006,https://i.scdn.co/image/ab67616d0000b27391bd0cb8bedef8caa62b157b,52,kollywood
5jXrULyYKHjkAMk4TXZFoG,Kaadhal Endral,['Yuvan Shankar Raja'],Goa (Original Motion Picture Soundtrack),01-01-2010,https://i.scdn.co/image/ab67616d0000b273729ad68875f57912947255d5,52,kollywood
0j5PDjpBsLIEQdRVSoXFBv,Kanaa Kaangiren,"['G. V. Prakash', 'Shubha Mudgal', 'Nithyasree Mahadevan', 'Vinitra']",Anandha Thaandavam (Original Motion Picture Soundtrack),03-10-2008,https://i.scdn.co/image/ab67616d0000b2737648a068e9518d1aaa15e1b5,53,kollywood
4yFeIf8l5kMPa2D4v7kl0G,Kutti Pisase,"['G. V. Prakash', 'Silambarasan TR', 'Suchitra']",Kaalai (Original Motion Picture Soundtrack),26-09-2008,https://i.scdn.co/image/ab67616d0000b273eb9156a993037230e234016c,53,kollywood
2HRDR52ijh8GjiBr1MD1A2,Nila Adhu Vanathumele,['Ilaiyaraaja'],Nayagan (Original Motion Picture Soundtrack),21-10-1987,https://i.scdn.co/image/ab67616d0000b273ab124639a9edcbb6e772c5ba,53,kollywood
0FjI8i76Tp8q9mJYb8ObvP,Kathadikkuthu Kathadikkuthu,"['Deva', 'Sabesh', 'Krishnaraj']",Ninaivirukkum Varai (Original Motion Picture Soundtrack),25-01-1999,https://i.scdn.co/image/ab67616d0000b27371a88b46ca8883086d5f48e6,52,kollywood
1c4KOXx8kgp7uSsMYG6q9v,Karpanai Endralum,['T. M. Soundararajan'],Karpanai Endralum,01-01-2011,https://i.scdn.co/image/ab67616d0000b27340adb05f1af9bdabee7e762c,52,kollywood
